incident_key,occur_date,occur_time,boro,precinct,jurisdiction_code,location_desc,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,x_coord_cd,y_coord_cd,latitude,longitude,geocoded_column,statistical_murder_flag,loc_classfctn_desc,loc_of_occur_desc
285958028,2024-04-26T00:00:00.000,01:16:00,MANHATTAN,26,2,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,18-24,M,BLACK,996894,236589,40.816049,-73.954319,POINT (-73.954319 40.816049),N,HOUSING,OUTSIDE
288607694,2024-06-16T00:00:00.000,02:50:00,BRONX,44,0,(null),(null),(null),(null),25-44,M,BLACK,1003290,241056,40.82829795465734,-73.93120074543612,POINT (-73.93120074543612 40.82829795465734),N,STREET,OUTSIDE
289173176,2024-06-26T00:00:00.000,20:04:00,BROOKLYN,67,0,(null),(null),(null),(null),18-24,M,BLACK,1005805,179120,40.658295,-73.92231,POINT (-73.92231 40.658295),N,PLAYGROUND,OUTSIDE
286397104,2024-05-04T00:00:00.000,01:25:00,QUEENS,102,0,BAR/NIGHT CLUB,(null),(null),(null),45-64,M,BLACK,1029424,191245,40.691487,-73.837101,POINT (-73.837101 40.691487),Y,COMMERCIAL,OUTSIDE
287193530,2024-05-20T00:00:00.000,20:20:00,BROOKLYN,79,0,(null),(null),(null),(null),18-24,M,BLACK,1000301,192923,40.696192,-73.942116,POINT (-73.942116 40.696192),Y,STREET,OUTSIDE
287123516,2024-05-18T00:00:00.000,22:28:00,BROOKLYN,73,0,(null),(null),(null),(null),25-44,M,BLACK,1009515,183436,40.670131,-73.908924,POINT (-73.908924 40.670131),Y,STREET,OUTSIDE
282117921,2024-02-12T00:00:00.000,16:32:00,BRONX,44,1,(null),<18,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244),Y,TRANSIT,INSIDE
284197306,2024-03-22T00:00:00.000,19:20:00,BRONX,40,0,(null),(null),(null),(null),18-24,M,BLACK,1005368,232661,40.805251,-73.923716,POINT (-73.923716 40.805251),N,STREET,OUTSIDE
280879491,2024-01-21T00:00:00.000,06:08:00,BRONX,47,0,(null),(null),(null),(null),45-64,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691),Y,STREET,INSIDE
288607695,2024-06-16T00:00:00.000,14:30:00,BRONX,40,0,(null),(null),(null),(null),18-24,M,BLACK,1010035,234836,40.8112087015432,-73.90685223592209,POINT (-73.90685223592209 40.8112087015432),N,STREET,OUTSIDE
282033298,2024-02-10T00:00:00.000,05:10:00,BRONX,52,0,MULTI DWELL - APT BUILD,25-44,M,BLACK HISPANIC,25-44,F,BLACK HISPANIC,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803),N,DWELLING,INSIDE
286397106,2024-05-05T00:00:00.000,01:40:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,(null),(null),(null),25-44,M,BLACK,1000094,198050,40.710264,-73.94285,POINT (-73.94285 40.710264),N,HOUSING,INSIDE
288669969,2024-06-17T00:00:00.000,20:35:00,BROOKLYN,75,0,(null),(null),(null),(null),25-44,M,BLACK,1019059,186180,40.677631,-73.874505,POINT (-73.874505 40.677631),N,STREET,OUTSIDE
289061107,2024-06-25T00:00:00.000,03:05:00,BROOKLYN,77,0,(null),(null),(null),(null),45-64,M,BLACK,994549,184536,40.673181,-73.962871,POINT (-73.962871 40.673181),N,STREET,OUTSIDE
287125471,2024-05-19T00:00:00.000,03:00:00,BROOKLYN,81,0,HOSPITAL,(null),(null),(null),25-44,M,BLACK,1007189,245707,40.841057,-73.917095,POINT (-73.917095 40.841057),N,(null),INSIDE
280519832,2024-01-14T00:00:00.000,05:14:00,QUEENS,103,0,BAR/NIGHT CLUB,(null),(null),(null),25-44,M,BLACK,1036701,195143,40.702143734840696,-73.81083175560475,POINT (-73.81083175560475 40.702143734840696),N,COMMERCIAL,OUTSIDE
287845253,2024-06-02T00:00:00.000,02:30:00,MANHATTAN,19,1,(null),25-44,M,BLACK,25-44,M,BLACK,996551,223272,40.779497725226406,-73.95558406794517,POINT (-73.95558406794517 40.779497725226406),N,TRANSIT,INSIDE
288294534,2024-06-10T00:00:00.000,20:40:00,BRONX,48,0,(null),(null),(null),(null),25-44,M,BLACK,1013658,249909,40.852571,-73.893695,POINT (-73.893695 40.852571),N,STREET,OUTSIDE
289061107,2024-06-25T00:00:00.000,03:05:00,BROOKLYN,77,0,(null),(null),(null),(null),25-44,M,BLACK,994549,184536,40.673181,-73.962871,POINT (-73.962871 40.673181),N,STREET,OUTSIDE
288208646,2024-06-08T00:00:00.000,19:20:00,MANHATTAN,32,0,(null),25-44,M,BLACK,18-24,M,WHITE HISPANIC,1000622,235883,40.814104882666705,-73.94085393110794,POINT (-73.94085393110794 40.814104882666705),N,STREET,OUTSIDE
288607692,2024-06-15T00:00:00.000,22:28:00,BROOKLYN,73,0,(null),(null),(null),(null),45-64,M,BLACK,1011591,181080,40.66365723863282,-73.90144969757841,POINT (-73.90144969757841 40.66365723863282),N,PLAYGROUND,INSIDE
286226482,2024-05-01T00:00:00.000,23:39:00,BRONX,44,0,(null),(null),(null),(null),65+,M,BLACK HISPANIC,1009486,243711,40.83557,-73.9088,POINT (-73.9088 40.83557),N,STREET,OUTSIDE
